# author: Jens Bertram <code@jens-bertram.net>
# sources:	http://www.dnb.de/SharedDocs/Downloads/DE/DNB/standardisierung/inhaltserschliessung/sprachencodes_engl.pdf?__blob=publicationFile
#			http://www.dnb.de/SharedDocs/Downloads/DE/DNB/standardisierung/inhaltserschliessung/sprachencodes_dt.pdf?__blob=publicationFile
# last changed: 02.01.2012
# language_id; language_code; name_en; name_de
311;niu;Niuean;Niue-Sprache 
312;nno;Norwegian Nynorsk, Nynorsk, Norwegian;Nynorsk 
313;nob;Bokmål, Norwegian, Norwegian Bokmål;Bokmål 
314;nog;Nogai;Nogaisch 
315;non;Norse, Old;Altnorwegisch 
316;nor;Norwegian;Norwegisch
317;nqo;N'Ko;N'Ko 
318;nso;Pedi, Sepedi, Northern Sotho;Pedi-Sprache 
319;nub;Nubian languages;Nubische Sprachen 
320;nwc;Classical Newari, Old Newari, Classical Nepal Bhasa;Alt-Newārī 
321;nya;Chichewa, Chewa, Nyanja;Nyanja-Sprache 
322;nym;Nyamwezi;Nyamwezi-Sprache 
323;nyn;Nyankole;Nkole-Sprache 
324;nyo;Nyoro;Nyoro-Sprache 
325;nzi;Nzima;Nzima-Sprache 
326;oci;Occitan (post 1500), Provençal;Okzitanisch 
327;oji;Ojibwa;Ojibwa-Sprache 
328;ori;Oriya;Oriya-Sprache 
329;orm;Oromo;Galla-Sprache 
330;osa;Osage;Osage-Sprache 
331;oss;Ossetian, Ossetic;Ossetisch 
332;ota;Turkish, Ottoman (1500-1928);Osmanisch 
333;oto;Otomian languages;Otomangue-Sprachen 
334;paa;Papuan languages;Papuasprachen 
335;pag;Pangasinan;Pangasinan-Sprache 
336;pal;Pahlavi;Mittelpersisch 
337;pam;Pampanga, Kapampangan;Pampanggan-Sprache 
338;pan;Panjabi, Punjabi;Pandschabi-Sprache 
339;pap;Papiamento;Papiamento 
340;pau;Palauan;Palau-Sprache 
341;peo;Persian, Old (ca.600-400 B.C.);Altpersisch 
342;per;Persian;Persisch;Persisch 
343;phi;Philippine languages;Philippinisch-Austronesisch 
344;phn;Phoenician;Phönikisch 
345;pli;Pali;Pāli 
346;pol;Polish;Polnisch
347;pon;Pohnpeian;Ponapeanisch 
348;por;Portuguese;Portugiesisch
349;pra;Prakrit languages;Prākrit 
350;pro;Provençal, Old (to 1500);Altokzitanisch 
351;pus;Pushto, Pashto;Paschtu 
352;qaa-qtz;Reserved for local use;Reserviert für lokale Verwendung 
353;que;Quechua;Quechua-Sprache 
354;raj;Rajasthani;Rājasthānī 
355;rap;Rapanui;Osterinsel-Sprache 
356;rar;Rarotongan, Cook Islands Maori;Rarotonganisch 
357;roa;Romance languages;Romanische Sprachen 
358;roh;Romansh;Romanische Sprachen 
359;rom;Romany;Romani 
360;rum;Romanian, Moldavian, Moldovan;Rumänisch
361;run;Rundi;Rundi-Sprache 
362;rup;Aromanian, Arumanian, Macedo-Romanian;Aromunisch 
363;rus;Russian;Russisch
364;sad;Sandawe;Sandawe-Sprache 
365;sag;Sango;Sango-Sprache 
366;sah;Yakut;Jakutisch 
367;sai;South American Indian (Other);Indianersprachen, Südamerika 
368;sal;Salishan languages;Salish-Sprache 
369;sam;Samaritan Aramaic;Samaritanisch 
370;san;Sanskrit;Sanskrit
371;sas;Sasak;Sasak 
372;sat;Santali;Santālī 
373;scn;Sicilian;Sizilianisch 
374;sco;Scots;Schottisch 
375;sel;Selkup;Selkupisch 
376;sem;Semitic languages;Semitische Sprachen 
377;sga;Irish, Old (to 900);Altirisch 
378;sgn;Sign Languages;Zeichensprachen 
379;shn;Shan;Schan-Sprache 
380;sid;Sidamo;Sidamo-Sprache 
381;sin;Sinhala, Sinhalese;Singhalesisch 
382;sio;Siouan languages;Sioux-Sprachen 
383;sit;Sino-Tibetan languages;Ladakhische Sprache
384;sla;Slavic languages;Slawische Sprachen 
385;slo;Slovak;Slowakisch
386;slv;Slovenian;Slowenisch
387;sma;Southern Sami;Südsamische Sprache
388;sme;Northern Sami;Nordsamische Sprache
389;smi;Sami languages;Andere Samische Sprachen
390;smj;Lule Sami;Lulesaamisch 
391;smn;Inari Sami;Inarisaamisch 
392;smo;Samoan;Samoanisch 
393;sms;Skolt Sami;Skoltsaamisch 
394;sna;Shona;Schona-Sprache 
395;snd;Sindhi;Sindhi-Sprache 
396;snk;Soninke;Soninke-Sprache 
397;sog;Sogdian;Sogdisch 
398;som;Somali;Somali 
399;son;Songhai languages;Songhai-Sprache
400;sot;Sotho, Southern;Süd-Sotho-Sprache 
401;spa;Spanish, Castilian;Spanisch
402;srd;Sardinian;Sardisch 
403;srn;Sranan Tongo;Sranantongo 
404;srp;Serbian;Serbisch 
